Block,Lon,Lat,Month,Wind Speed,Hour 00 Wind Speed,Hour 01 Wind Speed,Hour 02 Wind Speed,Hour 03 Wind Speed,Hour 04 Wind Speed,Hour 05 Wind Speed,Hour 06 Wind Speed,Hour 07 Wind Speed,Hour 08 Wind Speed,Hour 09 Wind Speed,Hour 10 Wind Speed,Hour 11 Wind Speed,Hour 12 Wind Speed,Hour 13 Wind Speed,Hour 14 Wind Speed,Hour 15 Wind Speed,Hour 16 Wind Speed,Hour 17 Wind Speed,Hour 18 Wind Speed,Hour 19 Wind Speed,Hour 20 Wind Speed,Hour 21 Wind Speed,Hour 22 Wind Speed,Hour 23 Wind Speed
 NF17-01-151,-83.0406,23.8024,January,8.17,8.26,8.15,8.12,8.09,8.13,8.13,8.09,8.13,8.16,8.13,8.1,8.03,7.83,7.79,7.69,7.85,8.04,8.3,8.39,8.56,8.51,8.52,8.57,8.45
 NF17-01-151,-83.0406,23.8024,Febuary,7.69,7.75,7.72,7.68,7.67,7.76,7.74,7.76,7.73,7.74,7.72,7.6,7.48,7.27,7.05,7.13,7.4,7.59,7.8,7.99,8.01,8.2,8.05,8.02,7.84
 NF17-01-151,-83.0406,23.8024,March,8.43,8.59,8.56,8.61,8.58,8.43,8.35,8.36,8.38,8.35,8.23,8.02,7.85,7.68,7.79,7.99,8.26,8.44,8.67,8.77,8.95,8.97,8.9,8.84,8.71
 NF17-01-151,-83.0406,23.8024,April,7.58,7.87,7.7,7.63,7.61,7.59,7.5,7.42,7.48,7.37,7.04,6.9,6.68,6.71,6.82,7.03,7.48,7.84,8.14,8.14,8.21,8.25,8.33,8.18,7.93
 NF17-01-151,-83.0406,23.8024,May,6.83,7.16,7.07,6.82,6.63,6.59,6.6,6.48,6.35,6.3,6.28,6.05,5.89,5.83,6.1,6.64,6.98,7.25,7.44,7.56,7.63,7.7,7.58,7.57,7.39
 NF17-01-151,-83.0406,23.8024,June,6.38,6.7,6.64,6.47,6.34,6.24,6.18,6.12,6.14,6.02,5.9,5.7,5.63,5.57,5.69,6.08,6.37,6.61,6.83,6.98,6.95,6.96,7.12,6.97,6.83
 NF17-01-151,-83.0406,23.8024,July,6.06,6.36,6.2,6.16,6.01,5.82,5.83,5.73,5.65,5.64,5.47,5.41,5.39,5.41,5.55,5.74,6.17,6.46,6.56,6.86,6.71,6.72,6.78,6.54,6.39
 NF17-01-151,-83.0406,23.8024,August,6.17,6.29,6.28,6.1,6.2,6,5.98,5.93,5.94,5.94,5.75,5.75,5.68,5.58,5.61,5.94,6.31,6.69,6.82,6.92,6.76,6.55,6.42,6.35,6.35
 NF17-01-151,-83.0406,23.8024,Spetember,6.17,6.47,6.27,6.17,6.12,6.02,5.96,5.96,5.94,5.86,5.85,5.74,5.63,5.49,5.49,5.68,6.07,6.3,6.53,6.66,6.84,6.9,6.84,6.77,6.61
 NF17-01-151,-83.0406,23.8024,October,7.7,8,7.88,7.76,7.61,7.62,7.58,7.4,7.38,7.48,7.43,7.45,7.46,7.34,7.25,7.26,7.41,7.74,7.95,8.07,8.21,8.19,8.14,8.08,8.05
 NF17-01-151,-83.0406,23.8024,Novermber,8.48,8.51,8.37,8.48,8.4,8.33,8.4,8.43,8.51,8.37,8.36,8.37,8.28,8.32,8.29,8.25,8.3,8.44,8.59,8.65,8.81,8.83,8.79,8.73,8.62
 NF17-01-151,-83.0406,23.8024,december,8.22,8.39,8.32,8.15,8.14,7.99,8,8.06,8.1,8.04,7.98,8.09,7.93,7.92,7.85,7.95,8.06,8.19,8.33,8.52,8.65,8.72,8.69,8.67,8.54
